allUpdates.txt


ctan.altspu.ru.txt
Changed at:			 Timestamp
-				 2020-03-13T04:02
2020-03-13T12:04:11		 2020-03-13T10:02
2020-03-13T18:00:11		 2020-03-13T16:02
2020-03-14T00:02:39		 2020-03-13T22:02
2020-03-14T06:01:20		 2020-03-14T04:02
2020-03-14T12:02:13		 2020-03-14T10:02
2020-03-14T18:04:49		 2020-03-14T16:02
2020-03-15T00:31:20		 2020-03-14T22:02


ctan.crest.fr.txt
Changed at:			 Timestamp
-				 2020-03-13T10:02
2020-03-13T12:20:26		 2020-03-13T11:02
2020-03-13T13:17:55		 2020-03-13T12:02
2020-03-13T14:20:25		 2020-03-13T13:02
2020-03-13T15:18:08		 2020-03-13T14:02
2020-03-13T16:21:08		 2020-03-13T15:02
2020-03-13T17:18:41		 2020-03-13T16:02
2020-03-13T18:21:20		 2020-03-13T17:02
2020-03-13T19:19:11		 2020-03-13T18:02
2020-03-13T20:17:15		 2020-03-13T19:02
2020-03-13T21:20:49		 2020-03-13T20:02
2020-03-13T22:18:09		 2020-03-13T21:02
2020-03-13T23:21:14		 2020-03-13T22:02
2020-03-14T00:18:28		 2020-03-13T23:02
2020-03-14T01:20:49		 2020-03-14T00:02
2020-03-14T02:17:57		 2020-03-14T01:02
2020-03-14T03:20:20		 2020-03-14T02:02
2020-03-14T04:17:34		 2020-03-14T03:02
2020-03-14T05:19:57		 2020-03-14T04:02
2020-03-14T06:17:05		 2020-03-14T05:02
2020-03-14T07:20:05		 2020-03-14T06:02
2020-03-14T08:18:45		 2020-03-14T07:02
2020-03-14T09:21:55		 2020-03-14T08:02
2020-03-14T10:21:56		 2020-03-14T09:02
2020-03-14T11:20:27		 2020-03-14T10:02
2020-03-14T12:18:22		 2020-03-14T11:02
2020-03-14T13:21:27		 2020-03-14T12:02
2020-03-14T14:19:46		 2020-03-14T13:02
2020-03-14T15:21:14		 2020-03-14T14:02
2020-03-14T16:19:30		 2020-03-14T15:02
2020-03-14T17:17:48		 2020-03-14T16:02
2020-03-14T18:20:40		 2020-03-14T17:02
2020-03-14T19:20:25		 2020-03-14T18:02
2020-03-14T20:18:42		 2020-03-14T19:02
2020-03-14T21:21:44		 2020-03-14T20:02
2020-03-14T22:19:15		 2020-03-14T21:02
2020-03-14T23:17:13		 2020-03-14T22:02
2020-03-15T00:20:43		 2020-03-14T23:02
2020-03-15T01:18:12		 2020-03-15T00:02
2020-03-15T02:21:39		 2020-03-15T01:02
2020-03-15T03:20:19		 2020-03-15T02:02
2020-03-15T04:18:49		 2020-03-15T03:02
2020-03-15T05:22:20		 2020-03-15T04:02
2020-03-15T06:20:34		 2020-03-15T05:02
2020-03-15T07:25:02		 2020-03-15T06:02
2020-03-15T08:18:26		 2020-03-15T07:02
2020-03-15T09:22:32		 2020-03-15T08:02
2020-03-15T10:17:23		 2020-03-15T09:02


ctan.cs.uu.nl.txt
Changed at:			 Timestamp
-				 2020-03-13T05:02
2020-03-13T18:31:47		 2020-03-13T17:02
2020-03-14T06:33:00		 2020-03-14T05:02
2020-03-14T18:31:37		 2020-03-14T17:02
2020-03-15T06:31:04		 2020-03-15T05:02


ctan.ijs.si.txt
Changed at:			 Timestamp
-				 2020-03-13T06:02
2020-03-13T13:23:05		 2020-03-13T12:02
2020-03-13T21:20:47		 2020-03-13T20:02
2020-03-14T07:25:18		 2020-03-14T06:02
2020-03-14T13:21:25		 2020-03-14T12:02
2020-03-14T21:21:42		 2020-03-14T20:02
2020-03-15T07:24:58		 2020-03-15T06:02


ctan.kako-dev.de.txt
Changed at:			 Timestamp
-				 2020-03-13T10:02
2020-03-13T12:04:22		 2020-03-13T11:02
2020-03-13T13:07:21		 2020-03-13T12:02
2020-03-13T14:10:00		 2020-03-13T13:02
2020-03-13T15:07:36		 2020-03-13T14:02
2020-03-13T16:05:30		 2020-03-13T15:02
2020-03-13T17:08:16		 2020-03-13T16:02
2020-03-13T18:10:50		 2020-03-13T17:02
2020-03-13T19:08:38		 2020-03-13T18:02
2020-03-13T20:11:57		 2020-03-13T19:02
2020-03-13T21:10:13		 2020-03-13T20:02
2020-03-13T22:07:45		 2020-03-13T21:02
2020-03-13T23:10:50		 2020-03-13T22:02
2020-03-14T00:13:14		 2020-03-13T23:02
2020-03-14T01:10:26		 2020-03-14T00:02
2020-03-14T02:12:46		 2020-03-14T01:02
2020-03-14T03:09:54		 2020-03-14T02:02
2020-03-14T04:12:22		 2020-03-14T03:02
2020-03-14T05:14:45		 2020-03-14T04:02
2020-03-14T06:11:52		 2020-03-14T05:02
2020-03-14T07:14:46		 2020-03-14T06:02
2020-03-14T08:13:25		 2020-03-14T07:02
2020-03-14T09:16:38		 2020-03-14T08:02
2020-03-14T11:15:12		 2020-03-14T10:02
2020-03-14T12:12:57		 2020-03-14T11:02
2020-03-14T13:16:12		 2020-03-14T12:02
2020-03-14T14:14:29		 2020-03-14T13:02
2020-03-14T15:13:37		 2020-03-14T14:02
2020-03-14T16:14:10		 2020-03-14T15:02
2020-03-14T17:17:46		 2020-03-14T16:02
2020-03-14T18:15:26		 2020-03-14T17:02
2020-03-14T19:14:43		 2020-03-14T18:02
2020-03-14T20:18:42		 2020-03-14T19:02
2020-03-14T21:16:32		 2020-03-14T20:02
2020-03-14T22:19:14		 2020-03-14T21:02
2020-03-14T23:17:12		 2020-03-14T22:02
2020-03-15T00:20:43		 2020-03-14T23:02
2020-03-15T01:18:11		 2020-03-15T00:02
2020-03-15T02:21:39		 2020-03-15T01:02
2020-03-15T03:20:19		 2020-03-15T02:02
2020-03-15T04:18:48		 2020-03-15T03:02
2020-03-15T05:22:20		 2020-03-15T04:02
